"Gogol_MertvieDushi" "Gogol_TarasBulba" "Lermontov_GeroyNashegoVremeni" "Lermontov_KnyaginyaLigovskaya" "Pushkin_Dubrovsky" "Pushkin_KapitanskayaDochka"
"сердце" 0.0170197166871776 0.0406096867639494 0.0785845259924273 0.0747065101387407 0.043602538636694 0.0455871626549964
"тех" 0.0366578513262287 0.0460243116658094 0.0809658752649251 0.048025613660619 0.0242236325759411 0.0182348650619985
"людей" 0.0458223141577859 0.0189511871565097 0.0500083347224537 0.0693703308431163 0.0484472651518822 0.0364697301239971
"прежде" 0.0628420308449635 0.0568535614695292 0.0142880956349868 0.0426894343649947 0.043602538636694 0.0182348650619985
"ваше" 0.0209473436149878 0.00270731245092996 0.0333388898149692 0.0426894343649947 0.106583983334141 0.106370046194991
"ивановна" 0.0104736718074939 0 0 0.016008537886873 0 0.258327255044979
"совсем" 0.0628420308449635 0.0541462490185992 0.0333388898149692 0.0373532550693703 0.00968945303037643 0.0151957208849988
"которого" 0.0484407321096593 0.0433169992148794 0.0523896839949515 0.0266808964781217 0.0339130856063175 0.0243131534159981
"моей" 0.0104736718074939 0.0108292498037198 0.109542066534899 0.016008537886873 0.0484472651518822 0.0729394602479942
"мои" 0.0170197166871776 0.0135365622546498 0.0690591289024361 0.016008537886873 0.0193789060607529 0.12460491125699
"продолжал" 0.0366578513262287 0.0216584996074397 0.0571523825399471 0.048025613660619 0.0532919916670704 0.0455871626549964
"должен" 0.0392762692781022 0.0162438747055798 0.0500083347224537 0.0586979722518677 0.0532919916670704 0.0455871626549964
"мое" 0.0130920897593674 0.0135365622546498 0.0809658752649251 0.0213447171824973 0.0193789060607529 0.112448334548991
"свое" 0.0327302243984185 0.0460243116658094 0.0261948419974758 0.0533617929562433 0.0775156242430115 0.0455871626549964
"козаки" 0 0.251780057936486 0 0 0 0
"которой" 0.0497499410855961 0.0324877494111595 0.0428642869049604 0.0266808964781217 0.0339130856063175 0.0395088743009968
